,discriminative_pattern_len,discriminative_pattern_position,stis_series_len,entities_num,symbols_num,level,kernel_sizes,global_pool,depth,train_accuracy,train_AUC,test_accuracy,test_AUC
0,[0.25],"[0.1, 0.65]",128,1024,8,0,[5],False,3,1.0,1.0,1.0,1.0
1,[0.25],"[0.1, 0.65]",128,1024,8,0,[5],True,3,0.521484375,0.526569200482244,0.5224609375,0.515583028083028
2,[0.25],"[0.1, 0.65]",128,1024,8,0,[10],False,3,1.0,1.0,1.0,1.0
3,[0.25],"[0.1, 0.65]",128,1024,8,0,[10],True,3,1.0,1.0,1.0,1.0
4,[0.25],"[0.1, 0.65]",128,1024,8,0,[20],False,3,1.0,1.0,1.0,1.0
5,[0.25],"[0.1, 0.65]",128,1024,8,0,[20],True,3,1.0,1.0,1.0,1.0
6,[0.25],"[0.1, 0.65]",128,1024,8,0,[30],False,3,1.0,1.0,1.0,1.0
7,[0.25],"[0.1, 0.65]",128,1024,8,0,[30],True,3,1.0,1.0,1.0,1.0
8,[0.25],"[0.1, 0.65]",128,1024,8,0,[40],False,3,1.0,1.0,1.0,1.0
9,[0.25],"[0.1, 0.65]",128,1024,8,0,[40],True,3,1.0,1.0,1.0,1.0
10,[0.25],"[0.1, 0.65]",128,1024,8,0,[60],False,3,1.0,1.0,1.0,1.0
11,[0.25],"[0.1, 0.65]",128,1024,8,0,[60],True,3,1.0,1.0,1.0,1.0
12,[0.25],"[0.1, 0.65]",128,1024,8,0,[80],False,3,1.0,1.0,1.0,1.0
13,[0.25],"[0.1, 0.65]",128,1024,8,0,[80],True,3,1.0,1.0,1.0,1.0
14,[0.25],"[0.1, 0.65]",128,1024,8,0,[100],False,3,1.0,1.0,1.0,1.0
15,[0.25],"[0.1, 0.65]",128,1024,8,0,[100],True,3,1.0,1.0,1.0,1.0
16,[0.25],"[0.1, 0.65]",256,1024,8,0,[5],False,3,1.0,1.0,1.0,1.0
17,[0.25],"[0.1, 0.65]",256,1024,8,0,[5],True,3,0.53125,0.5363858363858365,0.51953125,0.5188503984466494
18,[0.25],"[0.1, 0.65]",256,1024,8,0,[10],False,3,1.0,1.0,1.0,1.0
19,[0.25],"[0.1, 0.65]",256,1024,8,0,[10],True,3,1.0,1.0,0.525390625,0.5248814578302683
20,[0.25],"[0.1, 0.65]",256,1024,8,0,[20],False,3,1.0,1.0,1.0,1.0
21,[0.25],"[0.1, 0.65]",256,1024,8,0,[20],True,3,1.0,1.0,1.0,1.0
22,[0.25],"[0.1, 0.65]",256,1024,8,0,[30],False,3,1.0,1.0,1.0,1.0
23,[0.25],"[0.1, 0.65]",256,1024,8,0,[30],True,3,1.0,1.0,1.0,1.0
24,[0.25],"[0.1, 0.65]",256,1024,8,0,[40],False,3,1.0,1.0,1.0,1.0
25,[0.25],"[0.1, 0.65]",256,1024,8,0,[40],True,3,1.0,1.0,1.0,1.0
26,[0.25],"[0.1, 0.65]",256,1024,8,0,[60],False,3,1.0,1.0,1.0,1.0
27,[0.25],"[0.1, 0.65]",256,1024,8,0,[60],True,3,1.0,1.0,1.0,1.0
28,[0.25],"[0.1, 0.65]",256,1024,8,0,[80],False,3,1.0,1.0,1.0,1.0
29,[0.25],"[0.1, 0.65]",256,1024,8,0,[80],True,3,1.0,1.0,1.0,1.0
30,[0.25],"[0.1, 0.65]",256,1024,8,0,[100],False,3,1.0,1.0,1.0,1.0
31,[0.25],"[0.1, 0.65]",256,1024,8,0,[100],True,3,1.0,1.0,1.0,1.0
32,[0.25],"[0.1, 0.65]",512,1024,8,0,[5],False,3,1.0,1.0,1.0,1.0
33,[0.25],"[0.1, 0.65]",512,1024,8,0,[5],True,3,0.6845703125,0.6736355675878235,0.525390625,0.5301323441864725
34,[0.25],"[0.1, 0.65]",512,1024,8,0,[10],False,3,1.0,1.0,1.0,1.0
35,[0.25],"[0.1, 0.65]",512,1024,8,0,[10],True,3,0.9150390625,0.9189944134078212,0.5322265625,0.5268008426065852
36,[0.25],"[0.1, 0.65]",512,1024,8,0,[20],False,3,1.0,1.0,1.0,1.0
37,[0.25],"[0.1, 0.65]",512,1024,8,0,[20],True,3,1.0,1.0,0.53515625,0.5322693898734564
38,[0.25],"[0.1, 0.65]",512,1024,8,0,[30],False,3,1.0,1.0,1.0,1.0
39,[0.25],"[0.1, 0.65]",512,1024,8,0,[30],True,3,1.0,1.0,0.619140625,0.6186136679336294
40,[0.25],"[0.1, 0.65]",512,1024,8,0,[40],False,3,1.0,1.0,1.0,1.0
41,[0.25],"[0.1, 0.65]",512,1024,8,0,[40],True,3,1.0,1.0,1.0,1.0
42,[0.25],"[0.1, 0.65]",512,1024,8,0,[60],False,3,1.0,1.0,1.0,1.0
43,[0.25],"[0.1, 0.65]",512,1024,8,0,[60],True,3,1.0,1.0,1.0,1.0
44,[0.25],"[0.1, 0.65]",512,1024,8,0,[80],False,3,1.0,1.0,1.0,1.0
45,[0.25],"[0.1, 0.65]",512,1024,8,0,[80],True,3,1.0,1.0,1.0,1.0
46,[0.25],"[0.1, 0.65]",512,1024,8,0,[100],False,3,1.0,1.0,1.0,1.0
47,[0.25],"[0.1, 0.65]",512,1024,8,0,[100],True,3,1.0,1.0,1.0,1.0
48,[0.25],"[0.1, 0.65]",1024,1024,8,0,[5],False,3,1.0,1.0,1.0,1.0
49,[0.25],"[0.1, 0.65]",1024,1024,8,0,[5],True,3,0.5185546875,0.5062105162706365,0.5234375,0.5052161523093555
50,[0.25],"[0.1, 0.65]",1024,1024,8,0,[10],False,3,1.0,1.0,1.0,1.0
51,[0.25],"[0.1, 0.65]",1024,1024,8,0,[10],True,3,0.5302734375,0.5181353182555587,0.5283203125,0.5107952006050813
52,[0.25],"[0.1, 0.65]",1024,1024,8,0,[20],False,3,1.0,1.0,1.0,1.0
53,[0.25],"[0.1, 0.65]",1024,1024,8,0,[20],True,3,0.5673828125,0.5561122244488979,0.521484375,0.5033329131379808
54,[0.25],"[0.1, 0.65]",1024,1024,8,0,[30],False,3,1.0,1.0,1.0,1.0
55,[0.25],"[0.1, 0.65]",1024,1024,8,0,[30],True,3,0.5126953125,0.5,0.5185546875,0.5
56,[0.25],"[0.1, 0.65]",1024,1024,8,0,[40],False,3,1.0,1.0,1.0,1.0
57,[0.25],"[0.1, 0.65]",1024,1024,8,0,[40],True,3,0.5126953125,0.5,0.5185546875,0.5
58,[0.25],"[0.1, 0.65]",1024,1024,8,0,[60],False,3,1.0,1.0,1.0,1.0
59,[0.25],"[0.1, 0.65]",1024,1024,8,0,[60],True,3,1.0,1.0,1.0,1.0
60,[0.25],"[0.1, 0.65]",1024,1024,8,0,[80],False,3,1.0,1.0,1.0,1.0
61,[0.25],"[0.1, 0.65]",1024,1024,8,0,[80],True,3,1.0,1.0,1.0,1.0
62,[0.25],"[0.1, 0.65]",1024,1024,8,0,[100],False,3,1.0,1.0,1.0,1.0
63,[0.25],"[0.1, 0.65]",1024,1024,8,0,[100],True,3,1.0,1.0,1.0,1.0
64,[0.25],"[0.1, 0.65]",2048,1024,8,0,[5],False,3,1.0,1.0,1.0,1.0
65,[0.25],"[0.1, 0.65]",2048,1024,8,0,[5],True,3,0.578125,0.5800560779750892,0.5283203125,0.5132805931361308
66,[0.25],"[0.1, 0.65]",2048,1024,8,0,[10],False,3,1.0,1.0,1.0,1.0
67,[0.25],"[0.1, 0.65]",2048,1024,8,0,[10],True,3,0.87109375,0.8718446601941747,0.5361328125,0.5233776656730108
68,[0.25],"[0.1, 0.65]",2048,1024,8,0,[20],False,3,1.0,1.0,1.0,1.0
69,[0.25],"[0.1, 0.65]",2048,1024,8,0,[20],True,3,0.66796875,0.6699029126213593,0.5419921875,0.5240350072613315
70,[0.25],"[0.1, 0.65]",2048,1024,8,0,[30],False,3,1.0,1.0,1.0,1.0
71,[0.25],"[0.1, 0.65]",2048,1024,8,0,[30],True,3,1.0,1.0,0.5224609375,0.5159023159825727
72,[0.25],"[0.1, 0.65]",2048,1024,8,0,[40],False,3,1.0,1.0,1.0,1.0
73,[0.25],"[0.1, 0.65]",2048,1024,8,0,[40],True,3,0.6357421875,0.6378640776699029,0.52734375,0.507467706183597
74,[0.25],"[0.1, 0.65]",2048,1024,8,0,[60],False,3,1.0,1.0,1.0,1.0
75,[0.25],"[0.1, 0.65]",2048,1024,8,0,[60],True,3,0.56640625,0.5689320388349515,0.5263671875,0.5055224336925781
76,[0.25],"[0.1, 0.65]",2048,1024,8,0,[80],False,3,1.0,1.0,1.0,1.0
77,[0.25],"[0.1, 0.65]",2048,1024,8,0,[80],True,3,1.0,1.0,0.5244140625,0.5140755178475884
78,[0.25],"[0.1, 0.65]",2048,1024,8,0,[100],False,3,1.0,1.0,1.0,1.0
79,[0.25],"[0.1, 0.65]",2048,1024,8,0,[100],True,3,0.982421875,0.9825242718446602,0.525390625,0.5096308186195826
